ERS1063300	HGDP00129
ERS1063301	HGDP00122
ERS1063302	HGDP00628
ERS1063305	HGDP00121
ERS1063307	HGDP00615
ERS1063413	HGDP00631
ERS1063415	HGDP00720
ERS1063416	HGDP00729
ERS1063417	HGDP00752
ERS1063418	HGDP00753
ERS1063419	HGDP00768
ERS1063420	HGDP01258
ERS1063421	HGDP01262
ERS1063422	HGDP01263
ERS1063423	HGDP01273
ERS1063425	HGDP01280
ERS1063426	HGDP01301
ERS1063427	HGDP01302
ERS1085932	HGDP00690
ERS474042	HGDP00452
ERS474043	HGDP00453
ERS474047	HGDP00458
ERS474048	HGDP00459
ERS474049	HGDP00460
ERS474051	HGDP00464
ERS474052	HGDP00465
ERS474053	HGDP00466
ERS474054	HGDP00469
ERS474055	HGDP00470
ERS474056	HGDP00472
ERS474057	HGDP00473
ERS474058	HGDP00475
ERS474059	HGDP00479
ERS474060	HGDP00985
ERS474061	HGDP00986
ERS474062	HGDP01086
ERS474063	HGDP01090
ERS474064	HGDP01094
ERS474066	HGDP00450
ERS474068	HGDP00462
ERS474069	HGDP00463
ERS474070	HGDP00467
ERS474071	HGDP00471
ERS474074	HGDP00478
ERS474076	HGDP00984
ERS474077	HGDP01081
ERS474080	HGDP00992
ERS474081	HGDP01029
ERS474084	HGDP00993
ERS474085	HGDP00994
ERS474088	HGDP01031
ERS474089	HGDP01033
ERS474092	HGDP01405
ERS474093	HGDP01406
ERS474094	HGDP01408
ERS474095	HGDP01411
ERS474096	HGDP01412
ERS474098	HGDP01415
ERS474099	HGDP01416
ERS474101	HGDP01418
ERS474102	HGDP01419
ERS474103	HGDP00920
ERS474104	HGDP00924
ERS474105	HGDP00925
ERS474106	HGDP00926
ERS474109	HGDP00929
ERS474110	HGDP00930
ERS474111	HGDP00931
ERS474113	HGDP00933
ERS474114	HGDP00934
ERS474115	HGDP00935
ERS474117	HGDP00937
ERS474118	HGDP00938
ERS474119	HGDP00939
ERS474120	HGDP00940
ERS474121	HGDP00941
ERS474122	HGDP00942
ERS474123	HGDP00943
ERS474124	HGDP00944
ERS474125	HGDP00904
ERS474126	HGDP00905
ERS474128	HGDP00907
ERS474129	HGDP00908
ERS474131	HGDP00910
ERS474132	HGDP00911
ERS474135	HGDP00914
ERS474137	HGDP00917
ERS474138	HGDP00918
ERS474140	HGDP01200
ERS474141	HGDP01201
ERS474142	HGDP01202
ERS474143	HGDP01283
ERS474145	HGDP01285
ERS474147	HGDP00774
ERS474149	HGDP00776
ERS474150	HGDP00777
ERS474152	HGDP00779
ERS474153	HGDP00780
ERS474154	HGDP00781
ERS474155	HGDP00782
ERS474157	HGDP00784
ERS474159	HGDP00786
ERS474160	HGDP00811
ERS474161	HGDP00812
ERS474162	HGDP00813
ERS474163	HGDP00814
ERS474164	HGDP00815
ERS474165	HGDP00817
ERS474166	HGDP00818
ERS474167	HGDP00819
ERS474168	HGDP00820
ERS474169	HGDP00821
ERS474170	HGDP00822
ERS474171	HGDP00971
ERS474172	HGDP00972
ERS474173	HGDP00973
ERS474174	HGDP00974
ERS474175	HGDP00975
ERS474176	HGDP00976
ERS474177	HGDP00977
ERS474178	HGDP01021
ERS474179	HGDP01023
ERS474180	HGDP01024
ERS474181	HGDP01287
ERS474182	HGDP01288
ERS474183	HGDP01289
ERS474184	HGDP01290
ERS474185	HGDP01291
ERS474186	HGDP01292
ERS474187	HGDP01293
ERS474188	HGDP01294
ERS474189	HGDP01295
ERS474190	HGDP01296
ERS474194	HGDP01310
ERS474195	HGDP01311
ERS474197	HGDP01313
ERS474200	HGDP01316
ERS474201	HGDP01317
ERS474202	HGDP01318
ERS474203	HGDP01319
ERS474205	HGDP01321
ERS474206	HGDP01322
ERS474208	HGDP01326
ERS474209	HGDP01337
ERS474212	HGDP01340
ERS474213	HGDP01341
ERS474214	HGDP01342
ERS474217	HGDP01346
ERS474218	HGDP01327
ERS474219	HGDP01328
ERS474220	HGDP01329
ERS474221	HGDP01330
ERS474222	HGDP01331
ERS474223	HGDP01332
ERS474225	HGDP01334
ERS474227	HGDP01336
ERS474229	HGDP01180
ERS474230	HGDP01181
ERS474231	HGDP01182
ERS474232	HGDP01183
ERS474233	HGDP01184
ERS474234	HGDP01185
ERS474235	HGDP01186
ERS474236	HGDP01187
ERS474238	HGDP01189
ERS474239	HGDP01190
ERS474241	HGDP01192
ERS474242	HGDP01193
ERS474243	HGDP01194
ERS474244	HGDP01195
ERS474245	HGDP01196
ERS474246	HGDP01197
ERS474249	HGDP01096
ERS474250	HGDP01097
ERS474252	HGDP01099
ERS474253	HGDP01100
ERS474254	HGDP01101
ERS474255	HGDP01102
ERS474256	HGDP01103
ERS474257	HGDP01104
ERS474258	HGDP01347
ERS474259	HGDP01348
ERS474260	HGDP01349
ERS474262	HGDP01351
ERS474263	HGDP01352
ERS474264	HGDP01353
ERS474265	HGDP01354
ERS474267	HGDP01356
ERS474268	HGDP01243
ERS474269	HGDP01244
ERS474270	HGDP01245
ERS474272	HGDP01247
ERS474273	HGDP01248
ERS474274	HGDP01249
ERS474276	HGDP01251
ERS474277	HGDP01233
ERS474278	HGDP01234
ERS474279	HGDP01236
ERS474280	HGDP01237
ERS474281	HGDP01238
ERS474282	HGDP01239
ERS474284	HGDP01241
ERS474287	HGDP01224
ERS474288	HGDP01225
ERS474289	HGDP01226
ERS474290	HGDP01227
ERS474292	HGDP01229
ERS474293	HGDP01230
ERS474294	HGDP01231
ERS474295	HGDP01232
ERS474296	HGDP01213
ERS474297	HGDP01214
ERS474299	HGDP01216
ERS474300	HGDP01217
ERS474301	HGDP01218
ERS474302	HGDP01219
ERS474303	HGDP01220
ERS474304	HGDP01221
ERS474305	HGDP01222
ERS474307	HGDP01204
ERS474308	HGDP01205
ERS474309	HGDP01206
ERS474310	HGDP01207
ERS474311	HGDP01208
ERS474312	HGDP01209
ERS474314	HGDP01212
ERS474315	HGDP00711
ERS474316	HGDP00712
